Timestamp,Score,1. Are you a (select all that apply):,"2. If you are a grower, do you use a consultant? (If you are not a grower, please ignore this questions). ","3. How many soybean acres do you typically plant? (If you are not a grower, please ignore this question).","4. If you are a consultant, how many total acres of crops are you responsible for? (If you are not a consultant, please ignore this question)","5. Do you rent machinery to spray insecticides in your soybean fields? (If you are not a farmer, please ignore this question)",6. Do you measure defoliation in your field or in the fields that you are responsible for?,"7 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","8 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","9 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","10 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","11 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","12 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","13 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","14 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","15 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","16 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","17 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","18 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?",Which event was this form distributed at?
6/20/2024 20:02:59,,Extension personell,,,,,,0 - 17%,No,0 - 17%,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:05:47,,Extension personell,,,,,,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:07:25,,Extension personell,,,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:08:58,,Extension personell,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:10:28,,Extension personell,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:11:53,,Extension personell,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:13:58,,"Grower, Farm manager/consultant, Extension personell",Yes,250 - 1000,250 - 1000,No,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:02:13,,Extension personell,,,,,Yes,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:04:12,,"Grower, Extension personell",Yes,50 - 250,,Yes,Yes,34 - 66%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:05:40,,Extension personell,,,,,No,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:06:57,,Extension personell,,,,,No,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:08:21,,Extension personell,,,,,No,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:09:46,,Extension personell,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:11:34,,Extension personell,,0 - 50,More than 5000,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:12:46,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:15:50,,Other,,0 - 50,0 - 50,No,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,No,0 - 17%,Yes,18 - 33%,No,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:17:13,,Extension personell,,250 - 1000,,Yes,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,,,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/24/2024 0:18:29,,Other,,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,Yes,0 - 17%,Yes,"Extension Ag training - RM, Jun 16th"
8/5/2024 10:32:55,,Grower,No,1000 - 5000,,No,Yes,0 - 17%,No,0 - 17%,No,0 - 17%,No,0 - 17%,Yes,34 - 66%,No,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 10:34:19,,Agribusiness person (non-consultant),,,,,,0 - 17%,No,18 - 33%,No,18 - 33%,No,34 - 66%,Yes,18 - 33%,No,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 10:35:50,,Extension personell,,,,,Yes,18 - 33%,,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 10:37:16,,Extension personell,,,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,18 - 33%,No,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 10:43:15,,Extension personell,,,,,,0 - 17%,No,0 - 17%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 10:45:03,,Grower,Yes,250 - 1000,,No,Yes,0 - 17%,No,0 - 17%,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 10:46:25,,Grower,Yes,250 - 1000,,No,Yes,34 - 66%,No,34 - 66%,No,,,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 10:47:40,,Grower,Yes,250 - 1000,,Yes,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 10:50:07,,Other,No,50 - 250,,No,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 10:52:20,,Other,,,50 - 250,,Yes,18 - 33%,No,34 - 66%,Yes,18 - 33%,Yes,34 - 66%,Yes,18 - 33%,Yes,,,Northeast Ag Expo - July 25th
8/5/2024 10:53:44,,Independent crop consultant,,More than 5000,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 10:55:34,,Extension personell,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 10:57:31,,"Independent crop consultant, Other",,250 - 1000,1000 - 5000,No,Yes,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 10:59:13,,Grower,Yes,50 - 250,,No,Yes,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 11:05:21,,"Grower, Agribusiness person (non-consultant)",Yes,50 - 250,,Yes,Yes,34 - 66%,Yes,18 - 33%,Yes,18 - 33%,Yes,34 - 66%,Yes,34 - 66%,Yes,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:08:31,,Other,No,50 - 250,,No,No,0 - 17%,Yes,0 - 17%,Yes,0 - 17%,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 11:09:56,,Agribusiness person (non-consultant),,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,Yes,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:11:50,,Grower,Yes,250 - 1000,,No,No,18 - 33%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 11:14:02,,Grower,Yes,50 - 250,,No,No,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,Yes,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:15:38,,Grower,Yes,1000 - 5000,,No,No,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 11:16:51,,Grower,No,250 - 1000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:18:38,,Extension personell,,,,Yes,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,18 - 33%,Yes,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:24:34,,Extension personell,,,,,Yes,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:26:02,,"Grower, Agribusiness person (non-consultant)",No,50 - 250,,No,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 11:27:29,,Extension personell,,,More than 5000,No,No,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 11:30:19,,Agribusiness person (non-consultant),,,,,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,Yes,0 - 17%,Yes,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:33:39,,Grower,No,250 - 1000,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 11:34:33,,Grower,Yes,1000 - 5000,,Yes,No,,,,,,,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 11:36:12,,"Grower, Extension personell",No,50 - 250,,No,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:37:24,,"Grower, Farm manager/consultant",No,250 - 1000,,No,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 11:38:35,,Grower,Yes,250 - 1000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:39:53,,Agribusiness person (non-consultant),,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:41:17,,Grower,Yes,1000 - 5000,,No,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:42:51,,Grower,No,250 - 1000,,No,Yes,18 - 33%,No,67 - 100%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:49:58,,Grower,No,50 - 250,,No,No,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:55:58,,Extension personell,,,More than 5000,,,,,,,,,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 11:57:06,,Grower,No,250 - 1000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,,,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 11:58:17,,Extension personell,,50 - 250,,,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,Yes,0 - 17%,Yes,Northeast Ag Expo - July 25th
8/5/2024 11:59:44,,Independent crop consultant,,More than 5000,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,,0 - 17%,,18 - 33%,,Northeast Ag Expo - July 25th
8/5/2024 12:00:48,,Grower,No,250 - 1000,,No,No,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,No,0 - 17%,No,34 - 66%,No,Northeast Ag Expo - July 25th
8/5/2024 12:02:04,,Agribusiness person (non-consultant),,,More than 5000,,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Northeast Ag Expo - July 25th
8/5/2024 12:03:23,,Agribusiness person (non-consultant),,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 12:04:00,,Extension personell,,,,,,,,,,,,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 12:05:30,,Other,,,,,,18 - 33%,,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 12:06:53,,Other,,50 - 250,,No,No,18 - 33%,No,34 - 66%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,No,Northeast Ag Expo - July 25th
8/5/2024 12:07:25,,Other,,0 - 50,0 - 50,,,,,,,,,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 12:07:51,,Agribusiness person (non-consultant),,,More than 5000,,,,,,,,,,,,,,,Northeast Ag Expo - July 25th
8/5/2024 12:09:21,,Grower,No,1000 - 5000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,No,Northeast Ag Expo - July 25th
8/5/2024 12:11:28,,Grower,Yes,250 - 1000,,Yes,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,Northeast Ag Expo - July 25th
8/11/2024 18:50:52,,Grower,No,0 - 50,,No,No,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/11/2024 18:52:05,,Grower,No,50 - 250,,No,No,0 - 17%,Yes,0 - 17%,Yes,0 - 17%,No,34 - 66%,No,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/11/2024 18:53:28,,Agribusiness person (non-consultant),,,,,,34 - 66%,Yes,67 - 100%,Yes,18 - 33%,Yes,67 - 100%,Yes,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 18:55:05,,Grower,No,0 - 50,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 18:56:58,,Other,,,,,,34 - 66%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,No,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 18:58:36,,Farm manager/consultant,Yes,1000 - 5000,50 - 250,Yes,,18 - 33%,Yes,18 - 33%,Yes,34 - 66%,Yes,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:01:37,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,34 - 66%,Yes,67 - 100%,No,67 - 100%,No,67 - 100%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:03:05,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,No,0 - 17%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:04:27,,Other,,,,,,,,34 - 66%,,18 - 33%,,67 - 100%,,18 - 33%,,34 - 66%,,Blacklands field day - Aug 7th
8/11/2024 19:05:47,,Grower,No,1000 - 5000,,No,No,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:08:10,,"Grower, Extension personell",,50 - 250,,No,Yes,18 - 33%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/11/2024 19:11:02,,Other,,,,,,18 - 33%,No,34 - 66%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/11/2024 19:12:39,,Extension personell,,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,Yes,0 - 17%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:14:52,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,34 - 66%,Yes,67 - 100%,Yes,34 - 66%,No,34 - 66%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:17:03,,Agribusiness person (non-consultant),,,,,,34 - 66%,No,67 - 100%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:19:17,,Agribusiness person (non-consultant),,,,,,18 - 33%,No,34 - 66%,Yes,34 - 66%,Yes,34 - 66%,Yes,34 - 66%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:21:50,,Grower,No,1000 - 5000,,No,Yes,34 - 66%,Yes,18 - 33%,Yes,34 - 66%,Yes,,,18 - 33%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:23:42,,Grower,No,1000 - 5000,,No,No,34 - 66%,Yes,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:25:26,,Grower,No,1000 - 5000,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,Yes,18 - 33%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:40:40,,Grower,No,1000 - 5000,,Yes,No,18 - 33%,Yes,67 - 100%,Yes,18 - 33%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:43:05,,Grower,No,1000 - 5000,,Yes,Yes,18 - 33%,Yes,0 - 17%,Yes,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:44:48,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:47:22,,Extension personell,,,,No,No,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:49:10,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:51:43,,"Farm manager/consultant, Agribusiness person (non-consultant)",No,250 - 1000,,Yes,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/11/2024 19:53:54,,Extension personell,,,,,,18 - 33%,No,0 - 17%,No,34 - 66%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/11/2024 19:56:42,,Grower,No,1000 - 5000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 8:31:45,,Grower,No,1000 - 5000,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:33:13,,Agribusiness person (non-consultant),,,,,,,,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,18 - 33%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:34:43,,Extension personell,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,Yes,0 - 17%,Yes,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 8:36:18,,Extension personell,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 8:37:34,,Extension personell,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 8:38:47,,Extension personell,,,,,,18 - 33%,Yes,18 - 33%,No,0 - 17%,No,34 - 66%,No,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 8:40:11,,Grower,Yes,250 - 1000,1000 - 5000,No,Yes,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:41:41,,Other,,,,,,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 8:43:06,,Other,,,,,,34 - 66%,Yes,67 - 100%,Yes,0 - 17%,,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:44:24,,Grower,Yes,More than 5000,,Yes,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,Blacklands field day - Aug 7th
8/13/2024 8:45:38,,Grower,Yes,More than 5000,,Yes,Yes,0 - 17%,No,,,,,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:46:59,,Retail crop consultant,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
